,Shops
0,"http://livingsocial.com
"
1,"http://samsclub.com
"
2,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
3,"http://www.Adorama.com
"
4,"http://www.Campmor.com
"
5,"http://www.allposters.com
"
6,"http://www.amazon.com
"
7,"http://www.amazon.com/
"
8,"http://www.appoutdoors.com
"
9,"http://www.autoanything.com/car_truck_accessories.aspx?kc=BR351
"
10,"http://www.autopia-carcare.com
"
11,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
12,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
13,"http://www.carcovers.com
"
14,"http://www.crazycarlsdeals.com
"
15,"http://www.designeroptics.com
"
16,"http://www.everestgear.com
"
17,"http://www.familyleisure.com
"
18,"http://www.groupon.com
"
19,"http://www.homedepot.com
"
20,"http://www.houzz.com
"
21,"http://www.jcpenney.com/
"
22,"http://www.joylot.com
"
23,"http://www.kohls.com
"
24,"http://www.kotulas.com
"
25,"http://www.lightingdirect.com
"
26,"http://www.llbean.com/
"
27,"http://www.macys.com
"
28,"http://www.mountainsteals.com
"
29,"http://www.northerntool.com/
"
30,"http://www.oceansmall.net
"
31,"http://www.peterglenn.com
"
32,"http://www.respiratorycarestore.com/
"
33,"http://www.sears.com/sr/entry.jsp?eid=2&sid=I0083000010000100286
"
34,"http://www.sportsmanguide.com
"
35,"http://www.walmart.com
"
36,"http://www.zulily.com
"
37,"https://acdecor.biz/
"
38,"https://caautoparts.com/
"
39,"https://gg-decor.com/
"
40,"https://pstpoolsupplies.com
"
41,"https://www.campsaver.com
"
42,"https://www.costbuys.com
"
43,"https://www.costway.com/
"
44,"https://www.fun.com
"
45,"https://www.gearthirty.com/
"
46,"https://www.homedepot.com
"
47,"https://www.homeshoppingmalls.com/
"
48,"https://www.mountainwarehouse.com/us/
"
49,"https://www.secondsale.com
"
50,"https://www.shoes.com
"
51,"https://www.sportsmans.com/
"
52,"https://www.trouva.com/
"
