,Shops
0,"HTTPS://WWW.KINONASPORT.COM
"
1,"http://appleseeds.blair.com
"
2,"http://billsoutlets.com
"
3,"http://brittandjules.com
"
4,"http://carhartt.com
"
5,"http://clickserve.cc-dt.com/link/click?lid=41000000000574585
"
6,"http://clickserve.cc-dt.com/link/click?lid=41000000005587322
"
7,"http://gate4great.info/
"
8,"http://holabirdsports.com
"
9,"http://linksoul.com
"
10,"http://poshmark.com
"
11,"http://quantumboutique.com
"
12,"http://samsclub.com
"
13,"http://shop.mlb.com/
"
14,"http://shop.nhl.com
"
15,"http://soccer.epicsports.com
"
16,"http://store.nba.com/
"
17,"http://store.yahoo.com/cgi-bin/clink?landfallnav+jqfRKG+index.html
"
18,"http://store.yahoo.com/cgi-bin/clink?opticsplanet+2FJqzq+index.html
"
19,"http://svmoscow.com
"
20,"http://thenorthface.com/
"
21,"http://ullapopken.com/
"
22,"http://wintersilks.com
"
23,"http://www.Adorama.com
"
24,"http://www.Campmor.com
"
25,"http://www.CatalogFavorites.com/
"
26,"http://www.DisneyStore.com
"
27,"http://www.Fanatics.com
"
28,"http://www.LambertVetSupply.com
"
29,"http://www.UtahSkis.com
"
30,"http://www.abercrombie.com
"
31,"http://www.allposters.com
"
32,"http://www.amazon.com
"
33,"http://www.amazon.com/
"
34,"http://www.aninebing.com/
"
35,"http://www.appoutdoors.com
"
36,"http://www.ariat.com
"
37,"http://www.ashleystewart.com
"
38,"http://www.autogeek.net
"
39,"http://www.avondaleactive.com
"
40,"http://www.backcountry.com/index.html?CP=BizRateSurvey&SPC-BizRate&mv_pc=r111&GCID=C2000x023
"
41,"http://www.backinthesaddle.com/
"
42,"http://www.bananarepublic.com/
"
43,"http://www.barenecessities.com/csi/default.asp?source=bizrate&term=ratings
"
44,"http://www.basspro.com/servlet/catalog.OnlineShopping?hvarAID=bizrate&cm_mmc=Shopzilla-_-Marketing+Link-_--1-_-default
"
45,"http://www.beallsflorida.com
"
46,"http://www.belk.com/
"
47,"http://www.blackbeltshop.us
"
48,"http://www.blair.com
"
49,"http://www.blueandcream.com
"
50,"http://www.bluefly.com
"
51,"http://www.bodybuilding.com
"
52,"http://www.boscovs.com/
"
53,"http://www.bostonproper.com
"
54,"http://www.brayola.com
"
55,"http://www.brooksrunning.com
"
56,"http://www.buckle.com
"
57,"http://www.cavenders.com
"
58,"http://www.charlotterusse.com
"
59,"http://www.chicos.com
"
60,"http://www.christianbookbag.com
"
61,"http://www.classicshapewear.com
"
62,"http://www.coolibar.com
"
63,"http://www.countrystorecatalog.com
"
64,"http://www.cyberteez.com
"
65,"http://www.deepdiscount.com
"
66,"http://www.denniskirk.com
"
